Epoch,Train_Loss,Val_Loss,DSC,IoU,Sensitivity,Precision,HD95
1,0.1075,0.0283,0.7664,0.6758,0.6949,0.8784,27.04
2,0.0143,0.0112,0.8284,0.7648,0.7860,0.8935,17.15
3,0.0081,0.0087,0.8491,0.7877,0.8096,0.9023,15.03
5,0.0056,0.0083,0.8580,0.7974,0.8248,0.9046,13.57
7,0.0048,0.0079,0.8642,0.8042,0.8382,0.8993,14.34
9,0.0044,0.0078,0.8626,0.8034,0.8424,0.8929,14.70
1,0.4833,0.2103,0.8252,0.7625,0.7952,0.8675,18.15
3,0.1207,0.1922,0.8288,0.7678,0.7946,0.8770,19.30
4,0.1049,0.1767,0.8405,0.7767,0.8010,0.8981,16.99
6,0.0853,0.1661,0.8518,0.7932,0.8204,0.8947,15.37
8,0.0742,0.1550,0.8624,0.8037,0.8336,0.8997,13.24
9,0.0700,0.1513,0.8647,0.8072,0.8415,0.8964,13.84
14,0.0559,0.1483,0.8679,0.8120,0.8408,0.9027,13.11
1,0.0584,0.1499,0.8658,0.8081,0.8379,0.9012,14.61
2,0.0575,0.1494,0.8661,0.8090,0.8351,0.9050,14.71
5,0.0535,0.1490,0.8670,0.8103,0.8433,0.8983,12.30
1,0.3119,0.2126,0.8067,0.7507,0.7896,0.8434,19.74
2,0.1080,0.1777,0.8353,0.7905,0.8300,0.8530,13.21
3,0.0835,0.1660,0.8471,0.7984,0.8131,0.8917,11.15
4,0.0685,0.1610,0.8515,0.8053,0.8230,0.8885,12.33
5,0.0614,0.1500,0.8614,0.8205,0.8552,0.8723,9.49
6,0.0568,0.1493,0.8621,0.8217,0.8584,0.8706,10.77
